phi,Ridge,Jet
0.24,0.00300115,0
0.245,0.0029389,0
0.25,0.00287772,0
0.255,0.00281762,0
0.26,0.0027586,0
0.265,0.00270066,0
0.27,0.00264378,0
0.275,0.00258797,0
0.28,0.00253321,0
0.285,0.00247951,0
0.29,0.00242684,0
0.295,0.0023752,0
0.3,0.00232458,0
0.305,0.00227496,0
0.31,0.00222634,0
0.315,0.0021787,0
0.32,0.00213203,0
0.325,0.00208631,0
0.33,0.00204153,0
0.335,0.00199768,0
0.34,0.00195474,0
0.345,0.0019127,0
0.35,0.00187154,0
0.355,0.00183125,0
0.36,0.0017918,0
0.365,0.0017532,0
0.37,0.00171542,0
0.375,0.00167845,0
0.38,0.00164227,0
0.385,0.00160687,0
0.39,0.00157223,0
0.395,0.00153834,0
0.4,0.00150518,0
0.405,0.00147275,0
0.41,0.00144102,0
0.415,0.00140998,0
0.42,0.00137962,0
0.425,0.00134992,0
0.43,0.00132087,0
0.435,0.00129246,0
0.44,0.00126468,0
0.445,0.0012375,0
0.45,0.00121092,0
0.455,0.00118493,0
0.46,0.00115951,0
0.465,0.00113466,0
0.47,0.00111035,0
0.475,0.00108658,0
0.48,0.00106333,0
0.485,0.0010406,0
0.49,0.00101837,0
0.495,0.000996635,0
0.5,0.00097538,0
0.505,0.000954596,0
0.51,0.000934272,0
0.515,0.000914399,0
0.52,0.000894966,0
0.525,0.000875963,0
0.53,0.000857382,0
0.535,0.000839213,0
0.54,0.000821446,0
0.545,0.000804073,0
0.55,0.000787084,0
0.555,0.000770472,0
0.56,0.000754228,0
0.565,0.000738343,0
0.57,0.00072281,0
0.575,0.000707621,0
0.58,0.000692767,0
0.585,0.000678242,0
0.59,0.000664037,0
0.595,0.000650147,0
0.6,0.000636563,0
0.605,0.000623278,0
0.61,0.000610287,0
0.615,0.000597582,0
0.62,0.000585156,0
0.625,0.000573004,0
0.63,0.00056112,0
0.635,0.000549496,0
0.64,0.000538128,0
0.645,0.00052701,0
0.65,0.000516135,0
0.655,0.000505499,0
0.66,0.000495095,0
0.665,0.00048492,0
0.67,0.000474966,0
0.675,0.000465231,0
0.68,0.000455707,0
0.685,0.000446392,0
0.69,0.00043728,0
0.695,0.000428366,0
0.7,0.000419645,0
0.705,0.000411115,0
0.71,0.000402769,0
0.715,0.000394605,0
0.72,0.000386618,0
0.725,0.000378804,0
0.73,0.000371158,0
0.735,0.000363678,0
0.74,0.000356359,0
0.745,0.000349199,0
0.75,0.000342192,0
0.755,0.000335337,0
0.76,0.000328628,0
0.765,0.000322064,0
0.77,0.000315641,0
0.775,0.000309355,0
0.78,0.000303204,0
0.785,0.000297185,0
0.79,0.000291294,0
0.795,0.000285529,0
0.8,0.000279886,0
0.805,0.000274364,0
0.81,0.000268959,0
0.815,0.00026367,0
0.82,0.000258492,0
0.825,0.000253424,0
0.83,0.000248464,0
0.835,0.000243608,0
0.84,0.000238855,0
0.845,0.000234202,0
0.85,0.000229647,0
0.855,0.000225188,0
0.86,0.000220823,0
0.865,0.00021655,0
0.87,0.000212366,0
0.875,0.000208269,0
0.88,0.000204259,0
0.885,0.000200332,0
0.89,0.000196487,0
0.895,0.000192723,0
0.9,0.000189036,0
0.905,0.000185427,0
0.91,0.000181892,0
0.915,0.00017843,0
0.92,0.000175041,0
0.925,0.000171721,0
0.93,0.00016847,0
0.935,0.000165286,0
0.94,0.000162168,0
0.945,0.000159114,0
0.95,0.000156122,0
0.955,0.000153192,0
0.96,0.000150322,0
0.965,0.000147511,0
0.97,0.000144757,0
0.975,0.00014206,0
0.98,0.000139418,0
0.985,0.000136829,0
0.99,0.000134293,0
0.995,0.000131808,0
