phi,Alice,CMS,ATLAS
-1,0.012345,0.0121094,0.0115831
-0.993333,0.0124877,0.0122449,0.011739
-0.986667,0.0126321,0.0123819,0.0118971
-0.98,0.0127781,0.0125205,0.0120574
-0.973333,0.0129257,0.0126605,0.0122199
-0.966667,0.0130749,0.0128021,0.0123846
-0.96,0.0132258,0.0129452,0.0125515
-0.953333,0.0133784,0.0130898,0.0127208
-0.946667,0.0135326,0.013236,0.0128923
-0.94,0.0136885,0.0133837,0.0130661
-0.933333,0.0138461,0.013533,0.0132423
-0.926667,0.0140054,0.0136838,0.0134209
-0.92,0.0141664,0.0138363,0.0136018
-0.913333,0.0143291,0.0139903,0.0137852
-0.906667,0.0144935,0.0141459,0.0139709
-0.9,0.0146597,0.0143032,0.0141592
-0.893333,0.0148276,0.014462,0.0143499
-0.886667,0.0149972,0.0146224,0.0145431
-0.88,0.0151687,0.0147845,0.0147389
-0.873333,0.0153418,0.0149482,0.0149372
-0.866667,0.0155167,0.0151135,0.0151381
-0.86,0.0156934,0.0152805,0.0153415
-0.853333,0.0158719,0.015449,0.0155476
-0.846667,0.0160522,0.0156193,0.0157563
-0.84,0.0162342,0.0157912,0.0159676
-0.833333,0.016418,0.0159647,0.0161817
-0.826667,0.0166036,0.0161399,0.0163984
-0.82,0.016791,0.0163167,0.0166178
-0.813333,0.0169802,0.0164952,0.0168399
-0.806667,0.0171712,0.0166753,0.0170648
-0.8,0.017364,0.0168571,0.0172925
-0.793333,0.0175586,0.0170405,0.0175229
-0.786667,0.017755,0.0172256,0.0177561
-0.78,0.0179531,0.0174124,0.0179922
-0.773333,0.0181531,0.0176008,0.018231
-0.766667,0.0183549,0.0177908,0.0184727
-0.76,0.0185584,0.0179825,0.0187173
-0.753333,0.0187637,0.0181758,0.0189647
-0.746667,0.0189709,0.0183708,0.019215
-0.74,0.0191797,0.0185674,0.0194682
-0.733333,0.0193904,0.0187656,0.0197242
-0.726667,0.0196028,0.0189654,0.0199832
-0.72,0.0198169,0.0191668,0.0202451
-0.713333,0.0200328,0.0193699,0.0205099
-0.706667,0.0202505,0.0195745,0.0207777
-0.7,0.0204698,0.0197807,0.0210483
-0.693333,0.0206909,0.0199884,0.0213219
-0.686667,0.0209136,0.0201978,0.0215985
-0.68,0.0211381,0.0204086,0.021878
-0.673333,0.0213642,0.020621,0.0221604
-0.666667,0.0215919,0.0208349,0.0224457
-0.66,0.0218213,0.0210503,0.022734
-0.653333,0.0220523,0.0212671,0.0230252
-0.646667,0.0222849,0.0214854,0.0233193
-0.64,0.022519,0.0217052,0.0236163
-0.633333,0.0227548,0.0219264,0.0239163
-0.626667,0.022992,0.0221489,0.0242191
-0.62,0.0232308,0.0223729,0.0245248
-0.613333,0.023471,0.0225981,0.0248334
-0.606667,0.0237127,0.0228248,0.0251448
-0.6,0.0239558,0.0230527,0.025459
-0.593333,0.0242002,0.0232818,0.025776
-0.586667,0.0244461,0.0235122,0.0260958
-0.58,0.0246933,0.0237438,0.0264184
-0.573333,0.0249417,0.0239766,0.0267437
-0.566667,0.0251915,0.0242105,0.0270717
-0.56,0.0254424,0.0244455,0.0274023
-0.553333,0.0256945,0.0246816,0.0277356
-0.546667,0.0259478,0.0249187,0.0280714
-0.54,0.0262021,0.0251569,0.0284098
-0.533333,0.0264575,0.0253959,0.0287507
-0.526667,0.0267139,0.0256359,0.0290941
-0.52,0.0269713,0.0258767,0.0294399
-0.513333,0.0272295,0.0261183,0.029788
-0.506667,0.0274887,0.0263607,0.0301384
-0.5,0.0277486,0.0266038,0.0304911
-0.493333,0.0280092,0.0268476,0.030846
-0.486667,0.0282706,0.027092,0.031203
-0.48,0.0285326,0.0273369,0.031562
-0.473333,0.0287951,0.0275824,0.031923
-0.466667,0.0290582,0.0278282,0.0322859
-0.46,0.0293217,0.0280745,0.0326506
-0.453333,0.0295856,0.0283211,0.0330171
-0.446667,0.0298497,0.0285679,0.0333852
-0.44,0.0301141,0.0288149,0.0337549
-0.433333,0.0303787,0.0290621,0.034126
-0.426667,0.0306433,0.0293092,0.0344985
-0.42,0.030908,0.0295564,0.0348723
-0.413333,0.0311726,0.0298035,0.0352473
-0.406667,0.031437,0.0300503,0.0356232
-0.4,0.0317011,0.030297,0.0360002
-0.393333,0.031965,0.0305433,0.0363779
-0.386667,0.0322284,0.0307891,0.0367563
-0.38,0.0324913,0.0310345,0.0371353
-0.373333,0.0327536,0.0312793,0.0375147
-0.366667,0.0330152,0.0315234,0.0378943
-0.36,0.0332759,0.0317667,0.0382742
-0.353333,0.0335358,0.0320092,0.038654
-0.346667,0.0337947,0.0322507,0.0390336
-0.34,0.0340524,0.0324911,0.0394129
-0.333333,0.0343089,0.0327304,0.0397917
-0.326667,0.0345641,0.0329684,0.0401698
-0.32,0.0348179,0.033205,0.0405471
-0.313333,0.03507,0.0334401,0.0409234
-0.306667,0.0353205,0.0336737,0.0412985
-0.3,0.0355691,0.0339055,0.0416721
-0.293333,0.0358158,0.0341355,0.0420442
-0.286667,0.0360605,0.0343636,0.0424144
-0.28,0.0363029,0.0345896,0.0427827
-0.273333,0.036543,0.0348134,0.0431486
-0.266667,0.0367807,0.0350349,0.0435121
-0.26,0.0370157,0.035254,0.0438729
-0.253333,0.037248,0.0354705,0.0442308
-0.246667,0.0374774,0.0356843,0.0445855
-0.24,0.0377038,0.0358952,0.0449367
-0.233333,0.0379269,0.0361032,0.0452843
-0.226667,0.0381468,0.036308,0.0456279
-0.22,0.0383631,0.0365096,0.0459672
-0.213333,0.0385758,0.0367077,0.0463021
-0.206667,0.0387846,0.0369023,0.0466321
-0.2,0.0389895,0.0370932,0.0469571
-0.193333,0.0391902,0.0372802,0.0472766
-0.186667,0.0393866,0.0374632,0.0475905
