phi,Ridge,Jet
-1.1781,0.005242,0
-1.15454,0.00545115,0
-1.13097,0.00566918,0
-1.10741,0.00589638,0
-1.08385,0.00613303,0
-1.06029,0.0063794,1.45749e-321
-1.03673,0.00663575,3.13619e-317
-1.01316,0.00690233,4.92481e-313
-0.989601,0.00717937,6.1932e-309
-0.96604,0.0074671,6.23709e-305
-0.942478,0.00776571,5.03024e-301
-0.918916,0.00807536,3.24891e-297
-0.895354,0.0083962,1.68045e-293
-0.871792,0.00872831,6.96074e-290
-0.84823,0.00907177,2.30901e-286
-0.824668,0.00942659,6.1339e-283
-0.801106,0.00979272,1.30493e-279
-0.777544,0.0101701,2.22321e-276
-0.753982,0.0105584,3.03328e-273
-0.73042,0.0109576,3.31426e-270
-0.706858,0.0113673,2.90002e-267
-0.683296,0.0117871,2.03215e-264
-0.659734,0.0122163,1.14038e-261
-0.636172,0.0126546,5.12491e-259
-0.61261,0.013101,1.84443e-256
-0.589048,0.0135549,5.31594e-254
-0.565487,0.0140151,1.22698e-251
-0.541925,0.0144805,2.26796e-249
-0.518363,0.01495,3.35718e-247
-0.494801,0.0154221,3.97974e-245
-0.471239,0.0158952,3.77811e-243
-0.447677,0.0163677,2.87233e-241
-0.424115,0.0168376,1.74878e-239
-0.400553,0.017303,8.52663e-238
-0.376991,0.0177618,3.32935e-236
-0.353429,0.0182115,1.04107e-234
-0.329867,0.0186498,2.60702e-233
-0.306305,0.0190743,5.22815e-232
-0.282743,0.0194821,8.39638e-231
-0.259181,0.0198707,1.07988e-229
-0.235619,0.0202374,1.11225e-228
-0.212057,0.0205794,9.17418e-228
-0.188496,0.0208941,6.06001e-227
-0.164934,0.0211789,3.20568e-226
-0.141372,0.0214314,1.35802e-225
-0.11781,0.0216492,4.60717e-225
-0.0942478,0.0218304,1.25171e-224
-0.0706858,0.0219732,2.72339e-224
-0.0471239,0.0220763,4.74525e-224
-0.0235619,0.0221385,6.62138e-224
2.15106e-16,0.0221593,7.39909e-224
0.0235619,0.0221385,6.62138e-224
0.0471239,0.0220763,4.74525e-224
0.0706858,0.0219732,2.72339e-224
0.0942478,0.0218304,1.25171e-224
0.11781,0.0216492,4.60717e-225
0.141372,0.0214314,1.35802e-225
0.164934,0.0211789,3.20568e-226
0.188496,0.0208941,6.06001e-227
0.212057,0.0205794,9.17418e-228
0.235619,0.0202374,1.11225e-228
0.259181,0.0198707,1.07988e-229
0.282743,0.0194821,8.39638e-231
0.306305,0.0190743,5.22815e-232
0.329867,0.0186498,2.60702e-233
0.353429,0.0182115,1.04107e-234
0.376991,0.0177618,3.32935e-236
0.400553,0.017303,8.52663e-238
0.424115,0.0168376,1.74878e-239
0.447677,0.0163677,2.87233e-241
0.471239,0.0158952,3.77811e-243
0.494801,0.0154221,3.97974e-245
0.518363,0.01495,3.35718e-247
0.541925,0.0144805,2.26796e-249
0.565487,0.0140151,1.22698e-251
0.589049,0.0135549,5.31594e-254
0.61261,0.013101,1.84443e-256
0.636172,0.0126546,5.12491e-259
0.659734,0.0122163,1.14038e-261
0.683296,0.0117871,2.03215e-264
0.706858,0.0113673,2.90002e-267
0.73042,0.0109576,3.31426e-270
0.753982,0.0105584,3.03328e-273
0.777544,0.0101701,2.22321e-276
0.801106,0.00979272,1.30493e-279
0.824668,0.00942659,6.1339e-283
0.84823,0.00907177,2.30901e-286
0.871792,0.00872831,6.96074e-290
0.895354,0.0083962,1.68045e-293
0.918916,0.00807536,3.24891e-297
0.942478,0.00776571,5.03024e-301
0.96604,0.0074671,6.23709e-305
0.989601,0.00717937,6.1932e-309
1.01316,0.00690233,4.92481e-313
1.03673,0.00663575,3.13619e-317
1.06029,0.0063794,1.45749e-321
1.08385,0.00613303,0
1.10741,0.00589638,0
1.13097,0.00566918,0
1.15454,0.00545115,0
1.1781,0.005242,0
